Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Cas Construction,Cork City,"27-29 Dublin Street, Blackpool",10,Respond,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Cork City,"5 units, Shandon Street, Cork (Phase 1)",5,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 1)*",37,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 2)*",7,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 3)",8,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 4)*",13,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 5)*",11,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 6)",10,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork City,"Convent Gardens, Blackrock Villas, Blackrock, Co. Cork (Phase 1)",1,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork City,"Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 1)",4,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Cork City,"Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 2)",2,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Cork City,"Croppy Boy, Fairhill, Cork (Phase 1)",7,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork City,"Croppy Boy, Fairhill, Cork (Phase 2)*",14,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Construction,Cork City,"Green Lane, Blackpool, Cork City (Phase 1)",112,Cluid Housing,,0,,0,,0,Q2,2019,,0,,0
Calf Turnkey,Cork City,"Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,Respond,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Cork City,"Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Cork City,"Leeside Apartments, Bachelors Quay, Cork City (Phase 2)",6,Cluid Housing,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Cork City,"Lios Cara, Rathpeacon, Killeens, Cork (Phase 1)",12,Cluid Housing,,0,,0,,0,Q4,2019,,0,,0
Calf Construction,Cork City,"Lower Glanmire Road, Cork City (Phase 1)",8,Galtan Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Cork City,"Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,Galtan Ltd,,0,,0,,0,,0,,0,Q1,2018
Calf Construction,Cork City,"Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,Galtan Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Cork City,Maryborough Ridge & Blackrock  Villas\n (Phase 1)*,57,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork City,"Millerd Street, Cork (Phase 1)",25,Respond,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Cork City,"North Abbey Street, Cork City  (Phase 1)",6,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 1)*",80,Respond,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Cork City,"Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Cork City,"Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork City,"Springville House, Bulls Lane, Blackrock Road, Cork (Phase 1)",35,Túath Housing Association Ltd,,0,,0,,0,Q2,2020,,0,,0
Calf Turnkey,Cork City,"The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Church Road/Station Road, Carrigtwohill",18,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Cork County,"Inis Alainn & Castleoaks, Bandon",11,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Cork County,"Gleann Tuairigh, Youghal",3,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Millview Road, Kanturk",11,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Clondulane, Fermoy",2,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Cork County,"College Wood, Cobh",31,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Cork County,"Castletreasure, Douglas",12,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Cork County,"Crann Ard, Fermoy",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,CulAird Carraigtwohill,29,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Cork County,"Castletreasure, Douglas",12,N/A,,0,,0,,0,,0,,0,Q1,2017
Ship Construction Turnkey,Cork County,"Castletreasure, Douglas",16,N/A,,0,,0,,0,,0,,0,Q1,2017
Ship Construction Turnkey,Cork County,"Claragh Road, Millstreet",5,N/A,,0,,0,,0,Q3,2019,,0,,0
Ship Construction Turnkey,Cork County,"St. Mary�s Road, Dunmanway Phase 2",7,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Cork County,"Glanworth, Fermoy",10,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Cork County,"Quartertown, Mallow",5,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Spa Glen,Ballyviniter, Mallow",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Beacon Point, Baltimore",6,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Cork County,"Corrin View, Fermoy",6,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Cork County,"No. 43 & No. 50 Chapel Court, Skibbereen ",2,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Cork County,"Cul Na Smear, Bandon",14,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Glen Dara, Ard Cashel, Watergrasshill",6,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Clarendon Brooks, Carrs Hill, Douglas",9,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Cork County,"Sweetfields, Youghal",15,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Cork County,Lismire,4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Rylane, Mount Rivers, Co. Cork.",3,N/A,,0,,0,,0,Q2,2018,,0,,0
Ship Construction Turnkey,Cork County,"Clarendon Brooks, Carrs Hill, Douglas Phase 3",21,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Cork County,"Seafield, Bantry, ",3,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Cork County,"Parklands, Youghal",13,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Oliver Plunkett Place, Doneraile",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"No.9 and No.10  Chapel Court, Skibbereen,",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Tir Cluain, Midleton",8,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"College Mews, Cobh",6,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,Rathcormac,4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Fairgreen, Mallow",10,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Tir Cluain, Midleton (Phase 2)",14,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Cork County,"Church Road/Station Road, Carrigtwohill (2)",7,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Cork County,"Percival St, Kanturk",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"9 & 9a Main Street, Boherbue",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Parklands, Youghal - Phase 2",6,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Cork County,Rathcormac Phase 2,4,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Cork County,"Inis F�il, Curraclough, Bandon",13,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Maple Woods, Midleton",6,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork County,"Crann Ard, Fermoy - Phase 3",8,N/A,,0,,0,,0,,0,Q4,2017,,0
Ship Construction Turnkey,Cork County,"St. Mary's Road, Dunmanway Phase 3",6,N/A,,0,,0,,0,,0,Q4,2018,,0
Ship Construction Turnkey,Cork County,"Sweetfields, Youghal, Phase 2",20,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Cork County,"Copper Point, Schull, Co. Cork",7,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Cork County,"Mill Road, Avoncore, Bloomfield, Midleton",10,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork County,"Mill Road, Avoncore,  Broomfield, Midleton - Phase 2",8,N/A,,0,,0,,0,Q1,2019,,0,,0
Ship Construction Turnkey,Cork County,"Mill Road, Avoncore,  Bloomfield, Midleton - Phase 3",22,N/A,,0,,0,,0,Q1,2019,,0,,0
Ship Construction Turnkey,Cork County,"Cluain Cairn, Station Road, Carrigtwohill",2,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Cork County,"Spa Glen,Ballyviniter, Mallow ",6,N/A,,0,,0,,0,,0,,0,Q2,2020
Ship Construction Turnkey,Cork County,"Gleann Orga, Ballinhassig",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,Lios Ard Ballyhooly,8,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Cork County,"Cluain Ard, Cobh",6,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Cork County,"Baltimore, West Cork",12,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Chapel Court, Skibbereen",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Cluain Ard, Freemount",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,Glengarriff,5,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"The Cove, Glandore",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Copper Point, Schull, Co. Cork",7,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork County,"An Tui, Lisgoold, Leamlara",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Millstreet Road, Macroom",12,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Cork County,"Clarendon Brooks, Carrs Hill, Douglas Phase 2",14,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Cluain Cairn, Station Road, Carrigtwohill",12,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Cork County,"Glenbeg The Beeches, Boherbue",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Chapel Court, Skibbereen",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Millview Road, Kanturk - Phase 3",4,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Cork County,"An Tui, Lisgoold, Leamlara",1,N/A,,0,,0,,0,,0,,0,Q2,2020
Ship Construction Turnkey,Cork County,"Bruhenny, Churchtown",6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Ard Bhaile, Buttevant, Co. Cork",6,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Cork County,"Cecilstown, Mallow, Co. Cork",2,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Cork County,"Ballymacmoy, Killavullen, Co. Cork",13,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Cork County,"Meenane, Watergrasshill, Co. Cork ",25,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Cork County,"Spa Glen,Ballyviniter, Mallow",8,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Cork County,"Gortnaclohy, Skibbereen, Co. Cork",34,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Cork County,"Castle Heights, Carrigaline",3,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Cork County,"Cluain Cairn, Station Road, Carrigtwohill",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"The Court, Ard Cashel, Watergrasshill",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Kilmoney, Carrigaline, Co. Cork",60,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Cork County,"Millview Road, Kanturk - Phase 2",10,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Cork County,"Glenbeg, The Beeches, Boherbue",8,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Cork County,"Oliver Plunkett Place, Doneraile",4,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Cork County,"Crann Ard, Fermoy - Phase 2",40,N/A,,0,,0,,0,,0,Q4,2017,,0
Ship Construction Turnkey,Cork County,"Inis F�il, Curraclough, Bandon",17,N/A,,0,,0,,0,,0,Q4,2018,,0
Ship Construction Turnkey,Cork County,"St. Mary�s Road, Dunmanway ",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Cluain Cairn, Station Road Carrigtwohill",7,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Cork County,"An Goritin Rua, Millstreet Road, Macroom, Co. Cork",14,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Cork County,"King St, Mitchelstown, Co. Cork",2,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Cork County,"Lyraneag, Rockchapel, Co. Cork",2,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Cork County,"Cluain Reidh, Ballyvourney",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork County,"Eyeries, Castletownbere, Co. Cork",6,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Cork County,Lios Ard Ballhooly,12,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Cork County,"Spa Glen,Ballyviniter, Mallow ",28,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Cork County,"Spa Glen,Ballyviniter, Mallow ",18,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction,Cork City,"Sli Gartan, Mayfield, Cork ",1,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Cork County,"Model Village, Dripsey",6,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Cork County,"Castletreasure Grove, Douglas",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Cork County,"Seaview Cottages, Derrymihan, Castletownbere",3,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Cork County,"Curraleigh, Inniscarra",1,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Cork County,"Thomas Kent Street, Cobh",1,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction,Cork County,"Croke Place, Garranmacgarrett, Kilbrin, kanturk",2,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Cork County,"22 Aisling Ghael, Coolacoosane, Millview Road, Kanturk, Co. Cork",1,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Cork County,"Mullaghroe South, Cullen",2,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Cork County,"Downeen Cross, Rosscarbery",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Cork County,"Ard Na Greine, Cortmacsherry",17,N/A,,0,Q3,2019,,0,,0,,0,,0
Ship Construction,Cork County,"Station Road, Blarney",18,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Cork County,"Bluepool, Kanturk",12,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Cork County,"Tower View/C�irt na Sil�n�, Cloyne, East Cork Phase 1",7,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Cork County,"Beechgrove, Clonakilty",57,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Cork County,"Newtown House , Bantry",1,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Cork County,"Fairfield, Masseytown, Macroom",7,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cork County,"12 & 14 Droum, Castletownbere",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cork County,"Kilnagleary, Carrigaline (Phase 4)",15,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Cork County,"Oliver Plunkett Hill, Fermoy",10,N/A,,0,,0,,0,,0,,0,Q2,2017
Ship Construction,Cork County,"Townsend Street, Skibbereen",6,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Cork County,"Forest View, Mallow",10,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Cork County,"11/10 Harbour Hill, Cobh",1,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction,Cork County,Kilnagleary Carrigaline,10,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cork County,Kilnagleary Carrigaline (Phase 1A & 1B (ii)),16,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Cork County,Kilnagleary Carrigaline (Phase 1C),18,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Cork County,Kearney's field Dunmanway,5,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Cork County,"Richmond Court, Bandon",6,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Cork County,"Brigown Road, Mitchelstown",8,N/A,,0,Q3,2018,,0,,0,,0,,0
Ship Construction,Cork County,"Sleaveen East, Macroom",8,N/A,,0,Q3,2018,,0,,0,,0,,0
Ship Construction,Cork County,"Kilnagleary, Carrigaline Phase 1B",5,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cork County,"Tudor Grove, Ballincollig",16,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Cork County,"Pound Lane, Kilworth ",7,N/A,,0,,0,Q2,2020,,0,,0,,0
Ship Construction,Cork County,24 Glenview Terrace Lyre Co Cork,1,N/A,Q2,2019,,0,,0,,0,,0,,0
Ship Construction,Cork County,"Broomfield West, Avoncore, Midelton",10,N/A,Q2,2019,,0,,0,,0,,0,,0
Ship Construction,Cork County,"Knocknagown, Rylane",1,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Cork County,"Uplands (Phase 2), College Road,  Fermoy",11,N/A,,0,Q3,2019,,0,,0,,0,,0
Ship Construction,Cork County,"Lissoran, Ballinspittle",4,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Cork County,"Tower View/C�irt na Sil�n�, Cloyne, East Cork - Phase 2",2,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction,Cork County,"Convent Road, Doneraile",17,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Cork County,Kearney's field Dunmanway,13,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Cork County,"High St., Sleaveen Hill, Macroom, Co. Cork",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Cork County,"49 Masseytown, Macroom, Co. Cork ",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Cork County,"Carrig Rossa Phase 2, Rossmore, Co. Cork",2,N/A,Q2,2020,,0,,0,,0,,0,,0
Cas Construction Turnkey,Cork County,"Ardmanagh, Schull",12,Túath Housing Association Ltd,,0,,0,,0,Q1,2020,,0,,0
Cas Construction,Cork County,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,Cluid Housing Association,,0,Q1,2019,,0,,0,,0,,0
Cas Construction,Cork County,"Cuan Barra, Kilmore, Ballingeary",3,Coiste Tithe Uibh Laoire Teoranta,,0,,0,,0,,0,,0,Q3,2018
Cas Construction,Cork County,"Caim Hill, Townlands, Rosscarbery",9,Rosscarbery Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2019
Cas Construction,Cork County,"Avenue House, Bandon",9,Bandon Geriatric and Community Council,,0,,0,,0,,0,,0,Q1,2018
Cas Construction,Cork County,"Church View, Love Lane, Charleville",4,Charleville Care Project Ltd,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Cork County,"Fellowship House, Togher",31,Tabor Lodge Addiction And Housing Services Ltd,,0,,0,,0,,0,,0,Q2,2018
Cas Construction,Cork County,"Care Home Facility, Masseytown, Macroom",1,Túath Housing Association Ltd,Q1,2019,,0,,0,,0,,0,,0
Cas Construction,Cork County,"Baile Bhuire, Macroom",3,N/A,,0,,0,,0,Q2,2020,,0,,0
Cas Construction,Cork County,"Charleville, Church View, Love Lane, Charleville",9,Charleville Care Project Ltd,,0,Q2,2020,,0,,0,,0,,0
Cas Construction,Cork County,"St. Michaels, 36 Main Street, Bandon, Co. Cork",6,Bandon Geriatric and Community Council,Q3,2019,,0,,0,,0,,0,,0
Cas Construction,Cork County,"Distillery Lane, Distillery Walk, Midleton",7,N/A,Q1,2020,,0,,0,,0,,0,,0
Cas Construction,Cork County,"Mardyke, Skibbereen, Co. Cork",4,N/A,Q1,2020,,0,,0,,0,,0,,0
Cas Construction,Cork County,"Lisheen Field, Kilbarry Road, Dunmanway, Co. Cork",16,Cluid Housing Association,Q2,2020,,0,,0,,0,,0,,0
Calf Turnkey,Cork County,"3 units, Mullavale, Castletownroche, Co. Cork (Phase 1)",3,Respond,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,Cork County,"Beach Road, Passage West, Co. Cork (Phase 1)",3,Cluid Housing,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Cork County,"Brookhill (5 Units), Carrigaline, Cork (Phase 1)",5,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork County,"Brookhill, Carrigaline, Co. Cork (Phase 1)",4,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Cork County,"Brookhill, Carrigaline, Co. Cork (Phase 1)*",31,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Cork County,"Brookhill, Carrigaline, Co. Cork (Phase 2)",8,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Cork County,"Cluain Reidh, Ballymakeera, Co. Cork (Phase 1)",10,Cluid Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Cork County,"Codrum, Macroom, Co. Cork (Phase 1)",5,Túath Housing Association Ltd,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Cork County,"College Manor, Cobh (Phase 1)",10,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Cork County,"Coolroe, Ballincollig, Co. Cork (Phase 1)*",24,Respond,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Cork County,"Coolroe, Ballincollig, Co. Cork (Phase 2)",20,Respond,,0,,0,,0,,0,Q3,2019,,0
Calf Construction,Cork County,"Duntahane, Fermoy, Co. Cork (Phase 1)",46,Respond,,0,,0,,0,,0,Q4,2018,,0
Calf Construction,Cork County,Firgrove Harrisons lane (Phase 1),6,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Cork County,"Market Green, Knockgriffin, Midleton, Co. Cork (Phase 1)",20,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork County,"Market Green, Knockgriffin, Midleton, Co. Cork (Phase 2)*",22,Respond,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Cork County,"Mullavale, Castletownroche, Co. Cork (Phase 1)",6,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Construction,Cork County,"Post Tender - Radharc An tSaile, Cappagh, Ballynacubby, Kinsale, Co Cork (Phase 1)",40,Cluid Housing,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Cork County,"Sunville, Church Road, Carrigaline, Co. Cork (Phase 1)",6,Focus Housing Association CLG,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Cork County,"Tanners Field, Bandon, Co Cork  (Phase 1)",11,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Cork County,"Ticknock, Cobh, Cork (Phase 1)",8,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Cork County,"Togher Cross, Lehenaghmore, Co. Cork (Phase 1)",9,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cork County,"Weston, Carrigaline, Co. Cork (Phase 1)",7,Respond,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,DLR,"Hazelbrook, Nutgrove, Churchtown",28,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,DLR,"Dunedin Terrace, Monkstown",14,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Rapid,DLR,Rockville Drive (Glenamuck Cottages),13,N/A,Q4,2016,,0,,0,,0,,0,,0
Ship Construction Rapid,DLR,George's Place,12,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Rapid,DLR,"Ballyogan Court, Ballyogan",67,N/A,,0,Q4,2018,,0,,0,,0,,0
Ship Construction,Cork County,"St. Gobnaits, Ballyvourney, Co. Cork",20,N/A,Q2,2020,,0,,0,,0,,0,,0
